[2025-08-06T13:26:08.802439+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2025-08-06T13:26:08.804526+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Selamat datang di Ngaji Fuadi [] []
[2025-08-06T13:28:18.883596+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2025-08-07T09:46:37.865502+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-53 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865546+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-54 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865590+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-55 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865635+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-56 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865680+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-57 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865724+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-58 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865769+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-59 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865813+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-60 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865857+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-61 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865901+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-62 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.865978+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-63 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866023+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-64 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866068+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-65 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866113+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-66 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866158+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-67 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866299+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-68 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866359+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-69 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866406+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-70 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866451+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-71 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866496+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-72 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866541+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-73 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866666+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-74 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.866912+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-75 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.867068+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-76 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.867312+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-77 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.867517+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-78 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.867621+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-79 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.867705+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-80 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.867772+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-81 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.867851+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-82 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.867928+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-83 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.868006+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-84 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.868071+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-85 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.868127+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-86 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.868177+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-87 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.868222+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-88 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
